id,id_prompt,reference,syntax,mistakes,nota,nota_regra
13.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,2,1,4,[3]
19.html,universidade-em-crise-quem-paga-a-conta,grader_a,3,1,4,[3]
5.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,2,1,4,[3]
11.html,a-ciencia-na-era-da-pos-verdade,grader_a,2,1,4,[3]
9.html,escravizar-e-humano,grader_b,2,1,2,[3]
13.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_b,2,1,0,[3]
1.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_b,3,1,4,[3]
1.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,3,1,4,[3]
13.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_b,3,1,4,[3]
17.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,3,1,4,[3]
7.html,por-que-nao-ha-novas-manifestacoes-nas-ruas,grader_a,2,1,4,[3]
10.html,carnaval-e-apropriacao-cultural,grader_b,2,1,4,[3]
7.html,politica-x-ciencia-a-pilula-do-cancer,grader_b,2,1,2,[3]
12.html,carnaval-e-apropriacao-cultural,grader_b,3,1,4,[3]
5.html,universidade-em-crise-quem-paga-a-conta,grader_b,3,1,4,[3]
18.html,disciplina-ordem-e-autoridade-favorecem-a-educacao,grader_a,2,1,4,[3]
2.html,redes-sociais-e-manipulacao-politica,grader_b,3,1,4,[3]
12.html,carnaval-e-apropriacao-cultural,grader_a,3,1,4,[3]
9.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,2,1,4,[3]
4.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,2,1,4,[3]
18.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,3,1,5,[3]
8.html,carnaval-e-apropriacao-cultural,grader_a,2,1,4,[3]
13.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,3,2,5,[4]
14.html,internacao-compulsoria-de-dependentes-de-crack,grader_b,3,1,5,[3]
19.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_b,1,0,3,[1]
11.html,carnaval-e-apropriacao-cultural,grader_a,3,2,5,[4]
7.html,universidade-em-crise-quem-paga-a-conta,grader_b,3,1,4,[3]
9.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,2,1,4,[3]
17.html,carnaval-e-apropriacao-cultural,grader_a,2,1,4,[3]
15.html,carnaval-e-apropriacao-cultural,grader_b,3,1,5,[3]
12.html,a-ciencia-na-era-da-pos-verdade,grader_b,3,1,4,[3]
10.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,1,0,2,[1]
13.html,o-direito-ao-foro-privilegiado,grader_a,3,1,5,[3]
16.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,3,1,4,[3]
17.html,universidade-em-crise-quem-paga-a-conta,grader_a,1,0,2,[1]
14.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,2,1,4,[3]
7.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,3,2,3,[4]
19.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_a,3,1,4,[3]
0.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_b,3,1,5,[3]
0.html,politica-x-ciencia-a-pilula-do-cancer,grader_a,1,0,3,[1]
0.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,2,1,4,[3]
17.html,a-ciencia-na-era-da-pos-verdade,grader_b,2,1,2,[3]
7.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_a,2,1,5,[3]
17.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_a,2,1,4,[3]
3.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_a,3,1,4,[3]
16.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,3,1,4,[3]
8.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,2,1,4,[3]
5.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_b,3,1,5,[3]
8.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,2,1,4,[3]
10.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_b,2,1,4,[3]
7.html,redes-sociais-e-manipulacao-politica,grader_a,4,3,3,[5]
8.html,universidade-em-crise-quem-paga-a-conta,grader_b,3,1,4,[3]
10.html,universidade-em-crise-quem-paga-a-conta,grader_a,2,1,4,[3]
9.html,carnaval-e-apropriacao-cultural,grader_b,2,1,2,[3]
19.html,direitos-em-conflito-liberdade-de-expressao-e-intimidade,grader_a,1,0,2,[1]
9.html,perigos-do-universo-digital,grader_a,3,2,5,[4]
0.html,carnaval-e-apropriacao-cultural,grader_a,3,2,3,[4]
8.html,carnaval-e-apropriacao-cultural,grader_b,2,1,4,[3]
0.html,a-ciencia-na-era-da-pos-verdade,grader_a,1,0,3,[1]
18.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_a,3,1,4,[3]
10.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,2,1,4,[3]
8.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_b,2,1,2,[3]
17.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,2,1,4,[3]
15.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_a,4,3,4,[5]
10.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,3,1,4,[3]
4.html,universidade-em-crise-quem-paga-a-conta,grader_a,2,1,4,[3]
15.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,2,1,4,[3]
7.html,carnaval-e-apropriacao-cultural,grader_b,2,1,5,[3]
4.html,escola-no-brasil-com-partido-ou-sem-partido,grader_a,3,1,5,[3]
16.html,a-ciencia-na-era-da-pos-verdade,grader_a,2,1,4,[3]
15.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,3,1,4,[3]
8.html,a-ciencia-na-era-da-pos-verdade,grader_b,3,1,4,[3]
0.html,universidade-em-crise-quem-paga-a-conta,grader_a,2,1,4,[3]
4.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,4,3,4,[5]
2.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,2,1,4,[3]
15.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_b,4,3,4,[5]
12.html,a-ciencia-na-era-da-pos-verdade,grader_a,3,1,4,[3]
6.html,a-ciencia-na-era-da-pos-verdade,grader_b,3,1,4,[3]
7.html,a-ciencia-na-era-da-pos-verdade,grader_a,3,1,4,[3]
4.html,a-ciencia-na-era-da-pos-verdade,grader_b,3,1,4,[3]
17.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_b,2,1,4,[3]
4.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_b,2,1,4,[3]
14.html,universidade-em-crise-quem-paga-a-conta,grader_a,2,1,4,[3]
11.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_b,3,1,4,[3]
2.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,3,1,5,[3]
15.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_b,1,0,2,[1]
12.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,2,1,4,[3]
16.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,2,1,4,[3]
5.html,a-ciencia-na-era-da-pos-verdade,grader_a,3,1,4,[3]
4.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_a,3,2,5,[4]
5.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,3,1,4,[3]
6.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_a,2,1,4,[3]
9.html,o-direito-ao-foro-privilegiado,grader_b,3,1,4,[3]
8.html,direitos-em-conflito-liberdade-de-expressao-e-intimidade,grader_b,2,1,2,[3]
4.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_b,4,3,4,[5]
5.html,a-ciencia-na-era-da-pos-verdade,grader_b,3,1,4,[3]
0.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_b,2,1,4,[3]
4.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,2,1,4,[3]
19.html,violencia-e-drogas-o-papel-do-usuario,grader_b,2,1,2,[3]
9.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_b,2,1,5,[3]
9.html,a-ciencia-na-era-da-pos-verdade,grader_a,1,0,2,[1]
6.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,3,1,4,[3]
17.html,universidade-em-crise-quem-paga-a-conta,grader_b,1,0,2,[1]
8.html,escola-no-brasil-com-partido-ou-sem-partido,grader_a,3,1,4,[3]
3.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_a,3,1,4,[3]
8.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_a,2,1,4,[3]
10.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_b,1,0,2,[1]
3.html,a-ciencia-na-era-da-pos-verdade,grader_b,3,2,3,[4]
2.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_b,2,1,4,[3]
12.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,1,0,2,[1]
8.html,a-ciencia-na-era-da-pos-verdade,grader_a,3,1,4,[3]
11.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_b,4,3,4,[5]
17.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,2,1,4,[3]
7.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_b,2,0,3,[2]
5.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,3,1,4,[3]
9.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_a,1,0,2,[1]
19.html,a-ciencia-na-era-da-pos-verdade,grader_b,3,1,4,[3]
5.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,4,3,4,[5]
6.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_b,3,2,5,[4]
15.html,a-ciencia-na-era-da-pos-verdade,grader_a,2,1,4,[3]
1.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,3,1,4,[3]
8.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,2,1,4,[3]
5.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,2,1,4,[3]
5.html,violencia-e-drogas-o-papel-do-usuario,grader_a,1,0,3,[1]
5.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_a,2,1,4,[3]
2.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,2,1,4,[3]
3.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_b,2,1,4,[3]
16.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,1,0,3,[1]
3.html,universidade-em-crise-quem-paga-a-conta,grader_a,3,1,4,[3]
3.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_b,3,1,4,[3]
19.html,direitos-em-conflito-liberdade-de-expressao-e-intimidade,grader_b,1,0,2,[1]
2.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,2,1,4,[3]
2.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,3,1,4,[3]
19.html,universidade-em-crise-quem-paga-a-conta,grader_b,3,1,4,[3]
19.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,2,1,4,[3]
19.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_b,3,1,4,[3]
4.html,disciplina-ordem-e-autoridade-favorecem-a-educacao,grader_b,2,1,4,[3]
12.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,3,1,4,[3]
7.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,2,1,2,[3]
14.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,2,1,4,[3]
3.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,3,1,4,[3]
18.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,3,1,4,[3]
1.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,3,1,4,[3]
18.html,universidade-em-crise-quem-paga-a-conta,grader_a,2,1,4,[3]
12.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_b,2,1,4,[3]
5.html,carnaval-e-apropriacao-cultural,grader_a,3,1,4,[3]
18.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,2,1,4,[3]
6.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_b,3,1,4,[3]
4.html,disciplina-ordem-e-autoridade-favorecem-a-educacao,grader_a,2,1,2,[3]
1.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_b,3,1,5,[3]
7.html,carnaval-e-apropriacao-cultural,grader_a,2,1,5,[3]
1.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,3,1,5,[3]
15.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_b,4,3,4,[5]
11.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,3,1,4,[3]
18.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,2,1,4,[3]
7.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,1,0,3,[1]
19.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,2,1,4,[3]
3.html,carnaval-e-apropriacao-cultural,grader_b,2,1,4,[3]
0.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,2,1,4,[3]
13.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,3,1,4,[3]
13.html,universidade-em-crise-quem-paga-a-conta,grader_b,2,1,4,[3]
1.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,3,1,4,[3]
18.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,1,0,2,[1]
11.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,3,1,4,[3]
6.html,a-ciencia-na-era-da-pos-verdade,grader_a,3,1,5,[3]
16.html,universidade-em-crise-quem-paga-a-conta,grader_a,3,1,5,[3]
15.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_b,2,1,4,[3]
18.html,carnaval-e-apropriacao-cultural,grader_a,3,1,4,[3]
1.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,3,1,4,[3]
16.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_b,2,1,4,[3]
19.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,2,1,4,[3]
6.html,carnaval-e-apropriacao-cultural,grader_b,1,0,3,[1]
12.html,violencia-e-drogas-o-papel-do-usuario,grader_a,2,1,0,[3]
14.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_b,2,1,4,[3]
1.html,carnaval-e-apropriacao-cultural,grader_b,2,1,4,[3]
2.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_b,3,1,4,[3]
4.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,3,1,4,[3]
12.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_b,4,3,4,[5]
17.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,3,1,4,[3]
0.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,2,1,4,[3]
7.html,politica-x-ciencia-a-pilula-do-cancer,grader_a,2,1,4,[3]
4.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_b,2,1,4,[3]
7.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,2,1,4,[3]
3.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,3,1,4,[3]
15.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,1,0,2,[1]
0.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_b,3,1,4,[3]
12.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,3,2,5,[4]
10.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_b,1,0,2,[1]
16.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_a,2,1,4,[3]
2.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_a,2,1,2,[3]
3.html,universidade-em-crise-quem-paga-a-conta,grader_b,3,1,4,[3]
4.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,3,1,5,[3]
16.html,universidade-em-crise-quem-paga-a-conta,grader_b,3,1,4,[3]
9.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,2,1,4,[3]
7.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_b,1,0,3,[1]
13.html,universidade-em-crise-quem-paga-a-conta,grader_a,2,1,4,[3]
13.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,4,3,4,[5]
5.html,carnaval-e-apropriacao-cultural,grader_b,3,1,4,[3]
16.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,2,0,3,[2]
15.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,2,1,5,[3]
8.html,universidade-em-crise-quem-paga-a-conta,grader_a,3,1,5,[3]
19.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_a,2,1,4,[3]
8.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_a,1,0,2,[1]
1.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,2,1,4,[3]
19.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_a,1,0,3,[1]
5.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,2,1,4,[3]
11.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_a,3,1,5,[3]
12.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,1,0,2,[1]
11.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,2,1,4,[3]
16.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,2,0,3,[2]
7.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,3,1,4,[3]
9.html,o-direito-ao-foro-privilegiado,grader_a,3,1,5,[3]
16.html,um-reu-deve-ou-nao-ser-preso-apos-a-condenacao-em-2-instancia,grader_b,3,1,4,[3]
13.html,o-direito-ao-foro-privilegiado,grader_b,3,1,4,[3]
10.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,1,0,2,[1]
2.html,carnaval-e-apropriacao-cultural,grader_b,2,1,4,[3]
8.html,escravizar-e-humano,grader_b,2,1,2,[3]
10.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,2,1,4,[3]
3.html,cantar-ou-nao-cantar-o-hino-nacional-eis-a-questao,grader_b,3,1,4,[3]
13.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,2,1,0,[3]
6.html,a-onda-conservadora-e-o-brasil-nos-proximos-anos,grader_a,3,1,4,[3]
17.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_b,3,2,3,[4]
18.html,a-ciencia-na-era-da-pos-verdade,grader_b,2,1,2,[3]
2.html,carnaval-e-apropriacao-cultural,grader_a,2,1,4,[3]
18.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_b,3,1,4,[3]
17.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,2,1,4,[3]
3.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,2,1,4,[3]
0.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,3,1,4,[3]
19.html,a-ciencia-na-era-da-pos-verdade,grader_a,2,1,4,[3]
9.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,3,1,4,[3]
3.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,2,1,4,[3]
15.html,universidade-em-crise-quem-paga-a-conta,grader_b,2,1,4,[3]
0.html,preservacao-da-amazonia-desafio-brasileiro-ou-internacional,grader_a,3,1,4,[3]
12.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,2,1,4,[3]
9.html,escravizar-e-humano,grader_a,2,1,2,[3]
19.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,3,1,4,[3]
18.html,disciplina-ordem-e-autoridade-favorecem-a-educacao,grader_b,2,1,2,[3]
6.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_b,3,1,4,[3]
1.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_a,3,1,4,[3]
11.html,criptomoeda-tecnologia-e-revolucao-economica,grader_b,2,1,4,[3]
10.html,criptomoeda-tecnologia-e-revolucao-economica,grader_a,2,1,4,[3]
11.html,posse-de-armas-mais-seguranca-ou-mais-perigo,grader_a,3,1,4,[3]
16.html,a-fe-e-decisiva-para-uma-vida-melhor,grader_b,1,0,3,[1]
10.html,epidemia-alimentar-sobrepeso-e-obesidade,grader_b,3,1,4,[3]
